itemName,url
一股阳精射入儿媳子宫内,http://cl.koco.pw/htm_data/20/1711/2777286.html
我与怀孕姐姐的乱伦,http://cl.koco.pw/htm_data/20/1711/2777281.html
雾·泥土·日历,http://cl.koco.pw/htm_data/20/1711/2777117.html
梦境操纵者之镜欲,http://cl.koco.pw/htm_data/20/1711/2777107.html
共用娇妻的变态快感,http://cl.koco.pw/htm_data/20/1711/2776982.html
蝶儿,http://cl.koco.pw/htm_data/20/1711/2775595.html
（转）我的舞蹈老师,http://cl.koco.pw/htm_data/20/1711/2776314.html
被侄子给肏了,http://cl.koco.pw/htm_data/20/1711/2775965.html
[人妻乱伦] 那一晚我跟大嫂呼风唤雨,http://cl.koco.pw/htm_data/20/1711/2775766.html
[人妻乱伦] 警察局长的女儿,http://cl.koco.pw/htm_data/20/1711/2775677.html
电视台当家花旦的黑丝美腿,http://cl.koco.pw/htm_data/20/1711/2774679.html
嫂子,http://cl.koco.pw/htm_data/20/1711/2774953.html
和公司女同事的性事,http://cl.koco.pw/htm_data/20/1711/2774830.html
我和妹妹的海岛之恋,http://cl.koco.pw/htm_data/20/1711/2774823.html
从青涩到淫荡的十年,http://cl.koco.pw/htm_data/20/1711/2774730.html
镖局风云（1-9）,http://cl.koco.pw/htm_data/20/1711/2774414.html
忍辱的借种娇妻,http://cl.koco.pw/htm_data/20/1711/2774059.html
偷吃的巧芸，遭人操翻,http://cl.koco.pw/htm_data/20/1711/2773944.html
又肏了同村少妇――希曾老婆,http://cl.koco.pw/htm_data/20/1711/2773932.html
寂行纪,http://cl.koco.pw/htm_data/20/1711/2773878.html
老婆受奸致孕,http://cl.koco.pw/htm_data/20/1711/2773859.html
天上掉下的美女老婆,http://cl.koco.pw/htm_data/20/1711/2773818.html
和室友女友的故事,http://cl.koco.pw/htm_data/20/1711/2772650.html
就这么喜当爹了,http://cl.koco.pw/htm_data/20/1711/2772872.html
撕裂的欲望——留学生活小记,http://cl.koco.pw/htm_data/20/1711/2772605.html
十三枝玫瑰,http://cl.koco.pw/htm_data/20/1711/2772603.html
我和中年女人们,http://cl.koco.pw/htm_data/20/1711/2772601.html
工作中的熟女,http://cl.koco.pw/htm_data/20/1711/2772141.html
（转）QQ上的少妇,http://cl.koco.pw/htm_data/20/1711/2771519.html
嫂嫂的美腿,http://cl.koco.pw/htm_data/20/1711/2769946.html
旅途,http://cl.koco.pw/htm_data/20/1711/2769788.html
我爱丝袜,http://cl.koco.pw/htm_data/20/1711/2769782.html
[人妻乱伦] 我老婆和那个老男人,http://cl.koco.pw/htm_data/20/1711/2769266.html
穿丝袜的妈妈姜桂芝,http://cl.koco.pw/htm_data/20/1711/2768223.html
美丽女邻居（全）,http://cl.koco.pw/htm_data/20/1711/2768262.html
胁迫,http://cl.koco.pw/htm_data/20/1711/2765616.html
妻子的身体被5个男人享用过，对于我是一种美好。,http://cl.koco.pw/htm_data/20/1711/2766821.html
圣诞绿帽子,http://cl.koco.pw/htm_data/20/1711/2766333.html
菊花绽放在圣诞夜,http://cl.koco.pw/htm_data/20/1711/2766040.html
人妻玩90后,http://cl.koco.pw/htm_data/20/1711/2766032.html
角色女总裁的情与欲,http://cl.koco.pw/htm_data/20/1711/2766004.html
[原创]淫荡妹妹小茉茉自述2,http://cl.koco.pw/htm_data/20/1711/2765235.html
贵妃醉酒,http://cl.koco.pw/htm_data/20/1711/2764311.html
（转）就算你是国王我也要给你带上绿帽,http://cl.koco.pw/htm_data/20/1710/2699948.html
我的老婆是女同,http://cl.koco.pw/htm_data/20/1711/2765024.html
做爱如少年1-9,http://cl.koco.pw/htm_data/20/1708/2591180.html
办公室的无奈沉沦,http://cl.koco.pw/htm_data/20/1710/2699912.html
控制丝袜美女,http://cl.koco.pw/htm_data/20/1710/2699911.html
叔叔不要....,http://cl.koco.pw/htm_data/20/1710/2699084.html
浮生若梦之初尝禁果,http://cl.koco.pw/htm_data/20/1710/2697886.html
3P老婆,http://cl.koco.pw/htm_data/20/1711/2763108.html
爱情的真相,http://cl.koco.pw/htm_data/20/1711/2762918.html
槟榔,http://cl.koco.pw/htm_data/20/1708/2590921.html
风尘劫改编版,http://cl.koco.pw/htm_data/20/1708/2590783.html
微微一操很倾城,http://cl.koco.pw/htm_data/20/1708/2590776.html
一妻二夫,http://cl.koco.pw/htm_data/20/1708/2590679.html
密室逃脱,http://cl.koco.pw/htm_data/20/1708/2590633.html
王丽的悲歌,http://cl.koco.pw/htm_data/20/1707/2493622.html
天赐少妇,http://cl.koco.pw/htm_data/20/1705/2381685.html
Spa按摩经历,http://cl.koco.pw/htm_data/20/1710/2698547.html
那些年操过的丝袜骚货,http://cl.koco.pw/htm_data/20/1710/2698037.html
上了丝足店的妹子,http://cl.koco.pw/htm_data/20/1710/2697847.html
（转）合租的疯狂事,http://cl.koco.pw/htm_data/20/1711/2762611.html
我和大姨子之间不得不说的秘密,http://cl.koco.pw/htm_data/20/1711/2762527.html
妈妈姜桂芝的性奴史（长篇 农村+城市）,http://cl.koco.pw/htm_data/20/1711/2761805.html
老百姓的性事[转],http://cl.koco.pw/htm_data/20/1711/2761969.html
刘青的幸福生活1-10,http://cl.koco.pw/htm_data/20/1708/2589652.html
闭门一家亲,http://cl.koco.pw/htm_data/20/1708/2588764.html
大小乔姐妹和阿东的故事,http://cl.koco.pw/htm_data/20/1708/2588760.html
被妹妹的男友攻略了,http://cl.koco.pw/htm_data/20/1708/2588752.html
小婧的夜店遭遇,http://cl.koco.pw/htm_data/20/1708/2588304.html
名妓黄蓉转（全）,http://cl.koco.pw/htm_data/20/1708/2588500.html
少妇玉仪酒后失身,http://cl.koco.pw/htm_data/20/1708/2588563.html
友妻的出轨,http://cl.koco.pw/htm_data/20/1708/2588546.html
淫靡电梯,http://cl.koco.pw/htm_data/20/1707/2493585.html
真实台中小曼蒂从大尺度旅拍到淫娃（二）再度旅拍 一个发生在FB 大尺度外拍团二的真实故事,http://cl.koco.pw/htm_data/20/1707/2493044.html
漂亮的女老板,http://cl.koco.pw/htm_data/20/1706/2488732.html
暑假偶遇小学时代的女神班长,http://cl.koco.pw/htm_data/20/1706/2488986.html
有老公的小芹出轨经历,http://cl.koco.pw/htm_data/20/1706/2488980.html
常识修改赌局——输掉身体的大小姐,http://cl.koco.pw/htm_data/20/1706/2487792.html
从零开始的催眠生活——蕾姆篇,http://cl.koco.pw/htm_data/20/1706/2487772.html
真实台中小曼蒂从旅拍到淫娃（一）第一次旅拍 一个发生在FB 大尺度外拍团二的真实故事［完］,http://cl.koco.pw/htm_data/20/1706/2487254.html
钓鱼钓到一个带娃少妇,http://cl.koco.pw/htm_data/20/1705/2380342.html
我大学时代的女神南南,http://cl.koco.pw/htm_data/20/1705/2380895.html
性之瘾,http://cl.koco.pw/htm_data/20/1705/2381040.html
征服美女,http://cl.koco.pw/htm_data/20/1704/2379800.html
诱惑后阳台的男人,http://cl.koco.pw/htm_data/20/1704/2379393.html
那些年在聊天室聊到的熟女姐姐,http://cl.koco.pw/htm_data/20/1704/2379327.html
我和时尚女同学的故事,http://cl.koco.pw/htm_data/20/1704/2379269.html
宝贝儿，咱们做爱吧！（回忆我与小米的情人节）,http://cl.koco.pw/htm_data/20/1704/2379191.html
我和妻子江湖行,http://cl.koco.pw/htm_data/20/1704/2378616.html
地铁猎女,http://cl.koco.pw/htm_data/20/1710/2697277.html
阿强的岳母,http://cl.koco.pw/htm_data/20/1710/2697136.html
我和我姐同床共枕的那一晚,http://cl.koco.pw/htm_data/20/1710/2696761.html
我和我的哥哥,http://cl.koco.pw/htm_data/20/1710/2695982.html
親眼目睹媽媽的改變（第1-28章）,http://cl.koco.pw/htm_data/20/1710/2695882.html
新婚燕尔,http://cl.koco.pw/htm_data/20/1710/2695396.html
情人的约定,http://cl.koco.pw/htm_data/20/1710/2694534.html
不堪回首的记忆,http://cl.koco.pw/htm_data/20/1710/2693206.html
末世尸潮(原创，更新至第四章49楼),http://cl.koco.pw/htm_data/20/1708/2555460.html
无心插柳的换妻过程,http://cl.koco.pw/htm_data/20/1711/2761260.html
（转）咱也过把狼车瘾,http://cl.koco.pw/htm_data/20/1711/2761200.html
淫荡女上司,http://cl.koco.pw/htm_data/20/1711/2761316.html
一段真实的情感经历,http://cl.koco.pw/htm_data/20/1708/2588499.html
暑假回农村的性福故事之旅：与丰满婶婶一次愉悦的偷情（图文）,http://cl.koco.pw/htm_data/20/1708/2586989.html
背叛1-9,http://cl.koco.pw/htm_data/20/1708/2586610.html
三个女人,http://cl.koco.pw/htm_data/20/1706/2486971.html
公交车上我的弟弟被一位年轻的妈妈夹住了,http://cl.koco.pw/htm_data/20/1706/2484974.html
梦中的女孩,http://cl.koco.pw/htm_data/20/1706/2484819.html
刚毕业的幼师（未完）,http://cl.koco.pw/htm_data/20/1706/2483854.html
好爽的羽毛球课啊,http://cl.koco.pw/htm_data/20/1706/2482252.html
骑士的责任,http://cl.koco.pw/htm_data/20/1706/2482908.html
孙权和二乔,http://cl.koco.pw/htm_data/20/1704/2378337.html
我和同事小雨,http://cl.koco.pw/htm_data/20/1704/2377562.html
我和少妇房东的激情性爱故事,http://cl.koco.pw/htm_data/20/1704/2377659.html
我和女老师柳姐的往事,http://cl.koco.pw/htm_data/20/1704/2376222.html
与地产美女的公园激情,http://cl.koco.pw/htm_data/20/1704/2375235.html
诗涵,http://cl.koco.pw/htm_data/20/1704/2376074.html
睿儿大的故事(七章全),http://cl.koco.pw/htm_data/20/1704/2375743.html
陈老师的故事,http://cl.koco.pw/htm_data/20/1704/2375140.html
寂寞的少妇,http://cl.koco.pw/htm_data/20/1710/2690980.html
离婚后的小姨子,http://cl.koco.pw/htm_data/20/1710/2690967.html
骚妻绿记,http://cl.koco.pw/htm_data/20/1710/2690759.html
超级淫荡舅母,http://cl.koco.pw/htm_data/20/1710/2689999.html
租妻（完结）,http://cl.koco.pw/htm_data/20/1710/2688654.html
父辈的余阴：救夫人妻,http://cl.koco.pw/htm_data/20/1710/2688426.html
人流后的激情,http://cl.koco.pw/htm_data/20/1710/2687892.html
我是一位漂亮的姑娘，今年24岁,http://cl.koco.pw/htm_data/20/1710/2687809.html
洪荒双修擂台大会,http://cl.koco.pw/htm_data/20/1708/2554697.html
三个小姨妹,http://cl.koco.pw/htm_data/20/1708/2554236.html
愛她嗎？ （完） 作者：xxxfeixia,http://cl.koco.pw/htm_data/20/1708/2552952.html
[转]想当年的我和妈妈的故事,http://cl.koco.pw/htm_data/20/1707/2551619.html
Fate/Grand Fuck 第一章 格兰德的建立（1-5+番外）,http://cl.koco.pw/htm_data/20/1707/2549845.html
风流少年征服群女记,http://cl.koco.pw/htm_data/20/1707/2549952.html
（纪实文学）村官演义 原创草榴首发 2017-07-29更新在24楼,http://cl.koco.pw/htm_data/20/1707/2546328.html
健身房趣事,http://cl.koco.pw/htm_data/20/1707/2543477.html
玩女人玩到邻居少妇,http://cl.koco.pw/htm_data/20/1711/2760174.html
（转）调教处女秘书,http://cl.koco.pw/htm_data/20/1711/2760150.html
淫荡的下属老婆,http://cl.koco.pw/htm_data/20/1711/2759071.html
北国的春天,http://cl.koco.pw/htm_data/20/1708/2586569.html
已婚女人出国后的淫逸生活,http://cl.koco.pw/htm_data/20/1708/2586565.html
大学里上了隔壁系专业第一名的女生,http://cl.koco.pw/htm_data/20/1708/2586527.html
三年里我和五十岁家政妇的故事,http://cl.koco.pw/htm_data/20/1705/2434047.html
老婆和一個陌生大叔意外的３Ｐ真實經歷（完）作者：wang.xueqian,http://cl.koco.pw/htm_data/20/1706/2482020.html
伊甸园的苹果(转载),http://cl.koco.pw/htm_data/20/1706/2480958.html
淫荡鲍鱼人妻,http://cl.koco.pw/htm_data/20/1704/2375151.html
在宿舍里干了同学的女友,http://cl.koco.pw/htm_data/20/1704/2374937.html
一个职高女生被轮奸后的自述,http://cl.koco.pw/htm_data/20/1704/2374256.html
肇庆一路向西之行,http://cl.koco.pw/htm_data/20/1704/2374520.html
徐有乔的初男艳夜,http://cl.koco.pw/htm_data/20/1710/2687168.html
无尽火域的沉沦,http://cl.koco.pw/htm_data/20/1710/2683893.html
我和瑶瑶在大学的事（持续更新）,http://cl.koco.pw/htm_data/20/1710/2683557.html
绿帽日事之艾莲娜的秘密    作者：性手书生,http://cl.koco.pw/htm_data/20/1707/2542977.html
看小说被英文老师发现（11.8.17已更新于89樓）,http://cl.koco.pw/htm_data/20/1707/2542728.html
（经典爽文）老公期待已久的生日礼物,http://cl.koco.pw/htm_data/20/1707/2538152.html
少妇的乳汁,http://cl.koco.pw/htm_data/20/1707/2533552.html
丝袜美女老师,http://cl.koco.pw/htm_data/20/1707/2533071.html
一不小心上了孩子同学她妈,http://cl.koco.pw/htm_data/20/1707/2531027.html
我和丝袜高根同性恋女人的故事,http://cl.koco.pw/htm_data/20/1711/2758979.html
情妇课程,http://cl.koco.pw/htm_data/20/1711/2758616.html
耳恋,http://cl.koco.pw/htm_data/20/1711/2758187.html
公司里俏丽的前台,http://cl.koco.pw/htm_data/20/1708/2586372.html
骚老师张颖,http://cl.koco.pw/htm_data/20/1708/2585971.html
圣女是催眠肉便器,http://cl.koco.pw/htm_data/20/1708/2586071.html
盛世王朝（未完） by：棺材里的笑声,http://cl.koco.pw/htm_data/20/1708/2584916.html
征服-少妇,http://cl.koco.pw/htm_data/20/1708/2585443.html
医生狂干别人新娘,http://cl.koco.pw/htm_data/20/1705/2433576.html
[原创经历]关于最满意的一个炮友的故事,http://cl.koco.pw/htm_data/20/1705/2432954.html
无,http://cl.koco.pw/htm_data/20/1705/2431429.html
我与性感，单纯，可爱的三个女同学,http://cl.koco.pw/htm_data/20/1705/2429000.html
我与领导秘书的厕所之秘,http://cl.koco.pw/htm_data/20/1705/2430015.html
