指标编号,管理分类,子项名字,子项,字段,字段类型,英文名称（indicator_name）,单位,备注
,基本信息,基本信息,,uuid,静态属性,uuid,,
,基本信息,基本信息,,domain,静态属性,domain,,
KPI-windows-ALL-1,基本信息,基本信息,,名称,静态属性,name,,
KPI-windows-ALL-2,基本信息,基本信息,,管理IP,静态属性,ip,,
KPI-windows-ALL-4,基本信息,基本信息,,系统名称,静态属性,serverName,,
KPI-windows-ALL-5,基本信息,基本信息,,操作系统类型,静态属性,osType,,
KPI-windows-ALL-6,基本信息,基本信息,,操作系统版本,静态属性,version,,
KPI-windows-ALL-7,基本信息,基本信息,,硬件厂商,静态属性,hardwareVendors,,
KPI-windows-ALL-8,基本信息,基本信息,,设备标识号,静态属性,deviceId,,
KPI-windows-ALL-10,基本信息,基本信息,,购买批次,静态属性,purchasingBatches,,
KPI-windows-ALL-151,基本信息,基本信息,,备注,静态属性,memo,,
KPI-windows-ALL-14,基本信息,管理信息,,管理等级,静态属性,grade,,
KPI-windows-ALL-18,基本信息,基本状态,,ping检测状态,指标,PingStatus,,返回值：ON/OFF(ON：通OFF：不通)
KPI-windows-ALL-17,基本信息,基本状态,,连续运行时间,指标,OSUptime_Uptime,分钟,
KPI-windows-ALL-153,基本信息,基本状态,,ping响应时间,指标,AvgRtt,毫秒,
KPI-windows-ALL-19,硬件信息,风扇,WinHFanInfo,风扇名称（key）,静态属性,name,,
KPI-windows-ALL-20,硬件信息,风扇,WinHFanInfo,转速,指标,CurrentReading,RPM,
KPI-windows-ALL-21,硬件信息,风扇,WinHFanInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-23,硬件信息,温度计,WinHTemperatureInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-24,硬件信息,温度计,WinHTemperatureInfo,当前温度,指标,Temperature,℃,
KPI-windows-ALL-25,硬件信息,温度计,WinHTemperatureInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-27,硬件信息,电源,WinHBatteryInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-28,硬件信息,电源,WinHBatteryInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-30,硬件信息,CPU,WinHCPUInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-31,硬件信息,CPU,WinHCPUInfo,型号,静态属性,model,,
KPI-windows-ALL-32,硬件信息,CPU,WinHCPUInfo,频率,指标,Speed,MHz,
KPI-windows-ALL-33,硬件信息,CPU,WinHCPUInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-35,硬件信息,内存,WinHMemoryInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-36,硬件信息,内存,WinHMemoryInfo,内存类型,指标,Type,,
KPI-windows-ALL-37,硬件信息,内存,WinHMemoryInfo,型号,静态属性,model,,
KPI-windows-ALL-38,硬件信息,内存,WinHMemoryInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-40,硬件信息,物理驱动器,WinHPhysicsDriveInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-41,硬件信息,物理驱动器,WinHPhysicsDriveInfo,型号,静态属性,model,,
KPI-windows-ALL-42,硬件信息,物理驱动器,WinHPhysicsDriveInfo,容量,指标,Capacity,MB,
KPI-windows-ALL-43,硬件信息,物理驱动器,WinHPhysicsDriveInfo,状态,指标,Status,,
KPI-windows-ALL-45,硬件信息,网卡,WinHNetworkInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-46,硬件信息,网卡,WinHNetworkInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-48,硬件信息,Raid卡,WinHRAIDInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-49,硬件信息,Raid卡,WinHRAIDInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-51,硬件信息,电压,WinHVoltageProbeInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-52,硬件信息,电压,WinHVoltageProbeInfo,电压值,指标,Reading,毫伏(特),
KPI-windows-ALL-53,硬件信息,电压,WinHVoltageProbeInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-55,硬件信息,电流,WinHAmperageProbeInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-56,硬件信息,电流,WinHAmperageProbeInfo,电流值,指标,Reading,安培,
KPI-windows-ALL-57,硬件信息,电流,WinHAmperageProbeInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-59,硬件信息,电池,WinHBatteryInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-60,硬件信息,电池,WinHBatteryInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-62,硬件信息,PCI设备,WinHPCIDeviceInfo,名称（key）,静态属性,name,,
KPI-windows-ALL-63,硬件信息,PCI设备,WinHPCIDeviceInfo,状态,指标,Status,,返回值：Exception/OK/Other
KPI-windows-ALL-65,处理器性能,CPUs,WinCPUs,CPU的ID号（key）,静态属性,name,,
KPI-windows-ALL-66,处理器性能,CPUs,WinCPUs,使用率,指标,CPU_Load,%,
KPI-windows-ALL-67,处理器性能,CPU性能,,CPU平均使用率,指标,OSCPU_CPU_Load,%,
KPI-windows-ALL-68,处理器性能,CPU性能,,CPU处理器队列长度,指标,CPURUNTIME_ProcessorQueueLength,,
KPI-windows-ALL-69,处理器性能,CPU性能,,用户模式占cpu率,指标,CPURUNTIME_PercentUser,%,
KPI-windows-ALL-70,处理器性能,CPU性能,,特权模式占CPU率,指标,CPURUNTIME_PercentPrivileged,%,
KPI-windows-ALL-71,处理器性能,CPU性能,,DPC占cpu率,指标,CPURUNTIME_PercentDPC,%,
KPI-windows-ALL-72,处理器性能,CPU性能,,硬件中断CPU占用率,指标,CPURUNTIME_PercentInterrupt,%,
KPI-windows-ALL-73,处理器性能,CPU性能,,每秒接收硬件中断请求次数,指标,CPURUNTIME_InterruptsPersec,,
KPI-windows-ALL-74,内存性能,物理内存,,内存总大小,指标,OSMEM_Total,MB,
KPI-windows-ALL-75,内存性能,物理内存,,内存已用大小,指标,OSMEM_Used,MB,
KPI-windows-ALL-76,内存性能,物理内存,,可用内存,指标,OSMEM_Free,MB,
KPI-windows-ALL-77,内存性能,物理内存,,内存使用率,指标,OSMEM_UsedRatio,%,
KPI-windows-ALL-78,内存性能,缓存信息,,每秒硬错误访问页数,指标,PagesPersec,包/秒,
KPI-windows-ALL-79,内存性能,缓存信息,,每秒页面错误数,指标,PageFaultsPersec,个/秒,
KPI-windows-ALL-154,内存性能,缓存信息,,页面读取/秒,指标,,,
